,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
797,Tokyo Story,1953,8.2,,62099,,136,Drama            ,Not Rated,"
    Director:
Yasujirô Ozu
| 
    Stars:
Chishû Ryû, 
Chieko Higashiyama, 
Sô Yamamura, 
Setsuko Hara
","
An old couple visit their children and grandchildren in the city, but receive little attention."
798,Kal Ho Naa Ho,2003,7.9,54.0,69876,1.79,186,"Comedy, Drama, Musical            ",Not Rated,"
    Director:
Nikkhil Advani
| 
    Stars:
Preity Zinta, 
Shah Rukh Khan, 
Saif Ali Khan, 
Jaya Bachchan
","
Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
799,Harvey,1950,7.9,,55951,,104,"Comedy, Drama, Fantasy            ",Approved,"
    Director:
Henry Koster
| 
    Stars:
James Stewart, 
Wallace Ford, 
William H. Lynn, 
Victoria Horne
","
Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
800,Zindagi Na Milegi Dobara,2011,8.2,,78884,3.11,155,"Comedy, Drama, Musical            ",Not Rated,"
    Director:
Zoya Akhtar
| 
    Stars:
Hrithik Roshan, 
Farhan Akhtar, 
Abhay Deol, 
Katrina Kaif
","
Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged."
801,"Quo Vadis, Aida?",2020,8.0,97.0,33617,,101,"Drama, History, War            ",,"
    Director:
Jasmila Zbanic
| 
    Stars:
Jasna Djuricic, 
Izudin Bajrovic, 
Boris Ler, 
Dino Bajrovic
","
Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."
802,"I, Daniel Blake",2016,7.8,78.0,60447,0.26,100,Drama            ,R,"
    Director:
Ken Loach
| 
    Stars:
Dave Johns, 
Hayley Squires, 
Sharon Percy, 
Briana Shann
","
After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance."
803,The Thin Man,1934,7.9,86.0,30179,,91,"Comedy, Mystery            ",TV-PG,"
    Director:
W.S. Van Dyke
| 
    Stars:
William Powell, 
Myrna Loy, 
Maureen O'Sullivan, 
Nat Pendleton
","
Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
804,Asuran,2019,8.5,,29598,,141,"Action, Drama            ",Not Rated,"
    Director:
Vetrimaaran
| 
    Stars:
Dhanush, 
Manju Warrier, 
Prakash Raj, 
Pasupathy
","
The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
805,The Tale of The Princess Kaguya,2013,8.0,89.0,47203,1.51,137,"Animation, Drama, Family            ",PG,"
    Director:
Isao Takahata
| 
    Stars:
Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden
","
Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
806,Philomena,2013,7.6,77.0,100547,37.71,98,"Biography, Comedy, Drama            ",PG-13,"
    Director:
Stephen Frears
| 
    Stars:
Judi Dench, 
Steve Coogan, 
Sophie Kennedy Clark, 
Mare Winningham
","
A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
807,The Conformist,1970,7.9,100.0,30907,0.54,113,Drama            ,R,"
    Director:
Bernardo Bertolucci
| 
    Stars:
Jean-Louis Trintignant, 
Stefania Sandrelli, 
Gastone Moschin, 
Enzo Tarascio
","
A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
808,Vikram Vedha,2017,8.3,,45208,,147,"Action, Crime, Drama            ",Not Rated,"
    Directors:
Gayatri, 
Pushkar, 
Gowtham Selvaraj
| 
    Stars:
Madhavan, 
Vijay Sethupathi, 
Shraddha Srinath, 
Kathir
","
Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
809,A Man for All Seasons,1966,7.7,72.0,34897,28.35,120,"Biography, Drama, History            ",G,"
    Director:
Fred Zinnemann
| 
    Stars:
Paul Scofield, 
Wendy Hiller, 
Robert Shaw, 
Leo McKern
","
The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
810,My Sassy Girl,2001,8.0,,48474,,137,"Comedy, Drama, Romance            ",Not Rated,"
    Director:
Jae-young Kwak
| 
    Stars:
Tae-Hyun Cha, 
Jun Ji-hyun, 
In-mun Kim, 
Song Wok-suk
","
A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
811,To Be or Not to Be,1942,8.2,86.0,37785,,99,"Comedy, Romance, War            ",Passed,"
    Director:
Ernst Lubitsch
| 
    Stars:
Carole Lombard, 
Jack Benny, 
Robert Stack, 
Felix Bressart
","
During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
812,Wait Until Dark,1967,7.7,81.0,31189,17.55,108,Thriller            ,Not Rated,"
    Director:
Terence Young
| 
    Stars:
Audrey Hepburn, 
Alan Arkin, 
Richard Crenna, 
Efrem Zimbalist Jr.
","
A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment."
813,Swades,2004,8.2,,91101,1.22,189,"Drama, Musical            ",Not Rated,"
    Director:
Ashutosh Gowariker
| 
    Stars:
Shah Rukh Khan, 
Gayatri Joshi, 
Kishori Ballal, 
Smith Seth
","
A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots."
814,Farewell My Concubine,1993,8.1,83.0,29398,5.22,171,"Drama, Music, Romance            ",R,"
    Director:
Kaige Chen
| 
    Stars:
Leslie Cheung, 
Fengyi Zhang, 
Gong Li, 
You Ge
","
Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history."
815,Night on Earth,1991,7.7,68.0,61135,2.02,129,"Comedy, Drama            ",R,"
    Director:
Jim Jarmusch
| 
    Stars:
Winona Ryder, 
Gena Rowlands, 
Lisanne Falk, 
Alan Randolph Scott
","
An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night."
816,A Woman Under the Influence,1974,8.1,88.0,25544,13.34,155,"Drama, Romance            ",R,"
    Director:
John Cassavetes
| 
    Stars:
Gena Rowlands, 
Peter Falk, 
Fred Draper, 
Lady Rowlands
","
Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
817,Mildred Pierce,1945,7.9,88.0,26269,,111,"Crime, Drama, Film-Noir            ",Approved,"
    Director:
Michael Curtiz
| 
    Stars:
Joan Crawford, 
Jack Carson, 
Zachary Scott, 
Eve Arden
","
A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter."
818,The Chorus,2004,7.8,56.0,62735,3.64,97,"Comedy, Drama, Music            ",PG-13,"
    Director:
Christophe Barratier
| 
    Stars:
Gérard Jugnot, 
François Berléand, 
Jean-Baptiste Maunier, 
Kad Merad
","
The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music."
819,The Motorcycle Diaries,2004,7.8,75.0,101758,16.78,126,"Adventure, Biography, Drama            ",R,"
    Director:
Walter Salles
| 
    Stars:
Gael García Bernal, 
Rodrigo de la Serna, 
Mía Maestro, 
Mercedes Morán
","
The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling."
820,Hard Boiled,1992,7.7,,50984,,128,"Action, Crime, Thriller            ",R,"
    Director:
John Woo
| 
    Stars:
Chow Yun-Fat, 
Tony Chiu-Wai Leung, 
Teresa Mo, 
Philip Chan
","
A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew."
821,The Diving Bell and the Butterfly,2007,8.0,92.0,107996,5.99,112,"Biography, Drama            ",PG-13,"
    Director:
Julian Schnabel
| 
    Stars:
Mathieu Amalric, 
Emmanuelle Seigner, 
Marie-Josée Croze, 
Anne Consigny
","
The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed."
822,Hedwig and the Angry Inch,2001,7.7,85.0,35977,3.03,95,"Comedy, Drama, Music            ",R,"
    Director:
John Cameron Mitchell
| 
    Stars:
John Cameron Mitchell, 
Miriam Shor, 
Stephen Trask, 
Theodore Liscinski
","
A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs."
823,The Red Shoes,1948,8.1,,35444,10.9,135,"Drama, Music, Romance            ",Not Rated,"
    Directors:
Michael Powell, 
Emeric Pressburger
| 
    Stars:
Anton Walbrook, 
Marius Goring, 
Moira Shearer, 
Robert Helpmann
","
A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina."
824,Sweet Smell of Success,1957,8.0,100.0,32616,,96,"Drama, Film-Noir            ",Approved,"
    Director:
Alexander Mackendrick
| 
    Stars:
Burt Lancaster, 
Tony Curtis, 
Susan Harrison, 
Martin Milner
","
Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician."
825,A Prophet,2009,7.8,90.0,98943,2.08,155,"Crime, Drama            ",R,"
    Director:
Jacques Audiard
| 
    Stars:
Tahar Rahim, 
Niels Arestrup, 
Adel Bencherif, 
Reda Kateb
","
A young Algerian man is sent to a French prison."
826,Evil,2003,7.7,61.0,39048,0.02,113,Drama            ,Not Rated,"
    Director:
Mikael Håfström
| 
    Stars:
Andreas Wilson, 
Henrik Lundström, 
Gustaf Skarsgård, 
Linda Zilliacus
","
A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
827,Pather Panchali,1955,8.3,,33319,0.54,125,Drama            ,Not Rated,"
    Director:
Satyajit Ray
| 
    Stars:
Kanu Bannerjee, 
Karuna Bannerjee, 
Subir Banerjee, 
Chunibala Devi
","
Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
828,The Battle of Algiers,1966,8.1,96.0,60585,0.06,121,"Drama, War            ",Not Rated,"
    Director:
Gillo Pontecorvo
| 
    Stars:
Brahim Hadjadj, 
Jean Martin, 
Yacef Saadi, 
Samia Kerbash
","
In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
829,The World's Fastest Indian,2005,7.8,68.0,55394,5.13,127,"Biography, Drama, Sport            ",PG-13,"
    Director:
Roger Donaldson
| 
    Stars:
Anthony Hopkins, 
Diane Ladd, 
Iain Rea, 
Tessa Mitchell
","
The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967."
830,In Cold Blood,1967,7.9,89.0,26877,,134,"Biography, Crime, Drama            ",R,"
    Director:
Richard Brooks
| 
    Stars:
Robert Blake, 
Scott Wilson, 
John Forsythe, 
Paul Stewart
","
Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
831,The Message,1976,8.1,,48003,,177,"Biography, Drama, History            ",PG,"
    Director:
Moustapha Akkad
| 
    Stars:
Anthony Quinn, 
Irene Papas, 
Michael Ansara, 
Johnny Sekka
","
This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history."
832,The Sacrifice,1986,7.9,,28599,0.3,149,Drama            ,PG,"
    Director:
Andrei Tarkovsky
| 
    Stars:
Erland Josephson, 
Susan Fleetwood, 
Allan Edwall, 
Guðrún Gísladóttir
","
At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
833,Tokyo Godfathers,2003,7.8,73.0,40771,0.13,92,"Animation, Adventure, Comedy            ",PG-13,"
    Director:
Satoshi Kon
| 
    Stars:
Tôru Emori, 
Yoshiaki Umegaki, 
Aya Okamoto, 
Shôzô Îzuka
","
On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
834,His Girl Friday,1940,7.8,,59212,0.3,92,"Comedy, Drama, Romance            ",Passed,"
    Director:
Howard Hawks
| 
    Stars:
Cary Grant, 
Rosalind Russell, 
Ralph Bellamy, 
Gene Lockhart
","
A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying."
835,Wolf Children,2012,8.1,71.0,45254,,117,"Animation, Drama, Family            ",PG,"
    Director:
Mamoru Hosoda
| 
    Stars:
Aoi Miyazaki, 
Takao Osawa, 
Haru Kuroki, 
Yukito Nishii
","
After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
836,The Asphalt Jungle,1950,7.8,85.0,27678,,112,"Crime, Drama, Film-Noir            ",Passed,"
    Director:
John Huston
| 
    Stars:
Sterling Hayden, 
Louis Calhern, 
Jean Hagen, 
James Whitmore
","
A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel."
837,The Breadwinner,2017,7.7,78.0,25807,0.31,94,"Animation, Drama, Family            ",PG-13,"
    Director:
Nora Twomey
| 
    Stars:
Saara Chaudry, 
Soma Chhaya, 
Noorin Gulamgaus, 
Laara Sadiq
","
In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
838,Gully Boy,2019,7.9,65.0,40032,5.57,154,"Drama, Music, Romance            ",Not Rated,"
    Director:
Zoya Akhtar
| 
    Stars:
Ranveer Singh, 
Alia Bhatt, 
Siddhant Chaturvedi, 
Vijay Raaz
","
A coming-of-age story based on the lives of street rappers in Mumbai."
839,The Sea Inside,2004,8.0,74.0,82180,2.09,126,"Biography, Drama            ",PG-13,"
    Director:
Alejandro Amenábar
| 
    Stars:
Javier Bardem, 
Belén Rueda, 
Lola Dueñas, 
Mabel Rivera
","
The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die."
840,Brief Encounter,1945,8.0,92.0,40549,,86,"Drama, Romance            ",Not Rated,"
    Director:
David Lean
| 
    Stars:
Celia Johnson, 
Trevor Howard, 
Stanley Holloway, 
Joyce Carey
","
Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
841,The Broken Circle Breakdown,2012,7.7,70.0,41413,0.18,111,"Drama, Music, Romance            ",Not Rated,"
    Director:
Felix van Groeningen
| 
    Stars:
Veerle Baetens, 
Johan Heldenbergh, 
Nell Cattrysse, 
Geert Van Rampelberg
","
Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
842,Sullivan's Travels,1941,7.9,,26626,,90,"Adventure, Comedy, Drama            ",Passed,"
    Director:
Preston Sturges
| 
    Stars:
Joel McCrea, 
Veronica Lake, 
Robert Warwick, 
William Demarest
","
Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie."
843,Scarface,1932,7.7,87.0,28321,,93,"Action, Crime, Drama            ",PG,"
    Directors:
Howard Hawks, 
Richard Rosson
| 
    Stars:
Paul Muni, 
Ann Dvorak, 
Karen Morley, 
Osgood Perkins
","
An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
844,The Lunchbox,2013,7.8,76.0,56718,4.23,104,"Drama, Romance            ",PG,"
    Director:
Ritesh Batra
| 
    Stars:
Irrfan Khan, 
Nimrat Kaur, 
Nawazuddin Siddiqui, 
Lillete Dubey
","
A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox."
845,The 39 Steps,1935,7.6,93.0,57558,,86,"Crime, Mystery, Thriller            ",Approved,"
    Director:
Alfred Hitchcock
| 
    Stars:
Robert Donat, 
Madeleine Carroll, 
Lucie Mannheim, 
Godfrey Tearle
","
A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to steal top-secret information."
846,The Lady Vanishes,1938,7.8,98.0,53143,,96,"Mystery, Thriller            ",Not Rated,"
    Director:
Alfred Hitchcock
| 
    Stars:
Margaret Lockwood, 
Michael Redgrave, 
Paul Lukas, 
May Whitty
","
While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
847,Dilwale Dulhania Le Jayenge,1995,8.0,,70176,,181,"Drama, Romance            ",Not Rated,"
    Director:
Aditya Chopra
| 
    Stars:
Shah Rukh Khan, 
Kajol, 
Amrish Puri, 
Farida Jalal
","
When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
848,Joint Security Area,2000,7.8,58.0,30803,,110,"Action, Drama, Thriller            ",Not Rated,"
    Director:
Park Chan-wook
| 
    Stars:
Lee Yeong-ae, 
Lee Byung-hun, 
Song Kang-ho, 
Kim Tae-Woo
","
After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
849,Nostalghia,1983,8.0,,27422,0.01,125,Drama            ,Not Rated,"
    Director:
Andrei Tarkovsky
| 
    Stars:
Oleg Yankovskiy, 
Erland Josephson, 
Domiziana Giordano, 
Patrizia Terreno
","
A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved."
850,The Triplets of Belleville,2003,7.7,91.0,54759,7.0,80,"Animation, Comedy, Drama            ",PG-13,"
    Director:
Sylvain Chomet
| 
    Stars:
Michèle Caucheteux, 
Jean-Claude Donda, 
Michel Robin, 
Monica Viegas
","
When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
851,The Odd Couple,1968,7.6,86.0,35325,44.53,105,Comedy            ,Passed,"
    Director:
Gene Saks
| 
    Stars:
Jack Lemmon, 
Walter Matthau, 
John Fiedler, 
Herb Edelman
","
A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day."
852,PK,2014,8.1,,188395,10.62,153,"Comedy, Drama, Sci-Fi            ",Not Rated,"
    Director:
Rajkumar Hirani
| 
    Stars:
Aamir Khan, 
Anushka Sharma, 
Sanjay Dutt, 
Boman Irani
","
An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people."
853,Cowboy Bebop: The Movie,2001,7.8,61.0,49240,1.0,115,"Animation, Action, Crime            ",TV-14,"
    Directors:
Shin'ichirô Watanabe, 
Tensai Okamura, 
Hiroyuki Okiura, 
Yoshiyuki Takei
| 
    Stars:
Beau Billingslea, 
Melissa Fahn, 
Nicholas Guest, 
Kôichi Yamadera
","
A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit."
854,The Passion of Joan of Arc,1928,8.2,,55233,0.02,114,"Biography, Drama, History            ",Passed,"
    Director:
Carl Theodor Dreyer
| 
    Stars:
Maria Falconetti, 
Eugene Silvain, 
André Berley, 
Maurice Schutz
","
In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
855,Sleuth,1972,8.0,,48020,4.08,138,"Mystery, Thriller            ",PG,"
    Director:
Joseph L. Mankiewicz
| 
    Stars:
Laurence Olivier, 
Michael Caine, 
Alec Cawthorne, 
John Matthews
","
A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
856,Dersu Uzala,1975,8.2,,30045,,142,"Adventure, Biography, Drama            ",G,"
    Director:
Akira Kurosawa
| 
    Stars:
Maksim Munzuk, 
Yuriy Solomin, 
Mikhail Bychkov, 
Vladimir Khrulyov
","
The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter."
857,Sunrise,1927,8.1,,51328,0.54,94,"Drama, Romance            ",Passed,"
    Director:
F.W. Murnau
| 
    Stars:
George O'Brien, 
Janet Gaynor, 
Margaret Livingston, 
Bodil Rosing
","
A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme."
858,Hiroshima Mon Amour,1959,7.9,,32669,0.09,90,"Drama, Romance            ",Not Rated,"
    Director:
Alain Resnais
| 
    Stars:
Emmanuelle Riva, 
Eiji Okada, 
Stella Dassas, 
Pierre Barbaud
","
A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war."
859,The Discreet Charm of the Bourgeoisie,1972,7.8,93.0,43461,0.2,102,Comedy            ,PG,"
    Director:
Luis Buñuel
| 
    Stars:
Fernando Rey, 
Delphine Seyrig, 
Paul Frankeur, 
Bulle Ogier
","
A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
860,Shine,1996,7.6,87.0,54543,35.81,105,"Biography, Drama, Music            ",PG-13,"
    Director:
Scott Hicks
| 
    Stars:
Geoffrey Rush, 
Armin Mueller-Stahl, 
Justin Braine, 
Sonia Todd
","
Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
861,The Umbrellas of Cherbourg,1964,7.8,86.0,28026,0.03,91,"Drama, Musical, Romance            ",Not Rated,"
    Director:
Jacques Demy
| 
    Stars:
Catherine Deneuve, 
Nino Castelnuovo, 
Anne Vernon, 
Marc Michel
","
A young woman separated from her lover by war faces a life-altering decision."
862,Cries & Whispers,1972,8.0,,34494,1.74,91,Drama            ,R,"
    Director:
Ingmar Bergman
| 
    Stars:
Harriet Andersson, 
Liv Ullmann, 
Kari Sylwan, 
Ingrid Thulin
","
When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
863,Down by Law,1986,7.7,75.0,52054,1.44,107,"Comedy, Crime, Drama            ",R,"
    Director:
Jim Jarmusch
| 
    Stars:
Tom Waits, 
John Lurie, 
Roberto Benigni, 
Nicoletta Braschi
","
Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
864,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,83389,2.38,103,"Drama, Romance            ",R,"
    Director:
Kim Ki-duk
| 
    Stars:
Kim Ki-duk, 
Oh Yeong-su, 
Jong-ho Kim, 
Kim Young-min
","
A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons."
865,Dreams,1990,7.7,,26782,1.96,119,"Drama, Fantasy            ",PG,"
    Directors:
Akira Kurosawa, 
Ishirô Honda
| 
    Stars:
Akira Terao, 
Mitsuko Baishô, 
Toshie Negishi, 
Mieko Harada
","
A collection of tales based upon eight of director Akira Kurosawa's recurring dreams."
866,Diabolique,1955,8.1,,66279,1.09,117,"Crime, Drama, Horror            ",Not Rated,"
    Director:
Henri-Georges Clouzot
| 
    Stars:
Simone Signoret, 
Véra Clouzot, 
Paul Meurisse, 
Charles Vanel
","
The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi."
867,The General,1926,8.2,,91864,1.03,67,"Action, Adventure, Comedy            ",Passed,"
    Directors:
Clyde Bruckman, 
Buster Keaton
| 
    Stars:
Buster Keaton, 
Marion Mack, 
Glen Cavender, 
Jim Farley
","
After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
868,In America,2002,7.7,76.0,43330,15.54,105,Drama            ,PG-13,"
    Director:
Jim Sheridan
| 
    Stars:
Paddy Considine, 
Samantha Morton, 
Djimon Hounsou, 
Sarah Bolger
","
A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child."
869,In a Lonely Place,1950,7.9,,32052,,94,"Drama, Film-Noir, Mystery            ",Not Rated,"
    Director:
Nicholas Ray
| 
    Stars:
Humphrey Bogart, 
Gloria Grahame, 
Frank Lovejoy, 
Carl Benton Reid
","
A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
870,Ninja Scroll,1993,7.8,,37869,,94,"Animation, Action, Adventure            ",Not Rated,"
    Director:
Yoshiaki Kawajiri
| 
    Stars:
Kôichi Yamadera, 
Emi Shinohara, 
Takeshi Aono, 
Osamu Saka
","
A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate."
871,M.S. Dhoni: The Untold Story,2016,7.9,,59271,1.78,184,"Biography, Drama, Sport            ",Not Rated,"
    Director:
Neeraj Pandey
| 
    Stars:
Sushant Singh Rajput, 
Kiara Advani, 
Anupam Kher, 
Disha Patani
","
The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team."
872,Crimes and Misdemeanors,1989,7.8,77.0,58394,18.25,104,"Comedy, Drama            ",PG-13,"
    Director:
Woody Allen
| 
    Stars:
Martin Landau, 
Woody Allen, 
Bill Bernstein, 
Claire Bloom
","
An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman."
873,I Remember,1973,7.9,,43954,0.58,123,"Comedy, Drama            ",R,"
    Director:
Federico Fellini
| 
    Stars:
Magali Noël, 
Bruno Zanin, 
Pupella Maggio, 
Armando Brancia
","
A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town."
874,Taste of Cherry,1997,7.7,80.0,31546,0.31,95,Drama            ,Not Rated,"
    Director:
Abbas Kiarostami
| 
    Stars:
Homayoun Ershadi, 
Abdolrahman Bagheri, 
Afshin Khorshid Bakhtiari, 
Safar Ali Moradi
","
An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide."
875,"Black Cat, White Cat",1998,8.0,73.0,54193,0.35,127,"Comedy, Crime, Romance            ",R,"
    Director:
Emir Kusturica
| 
    Stars:
Bajram Severdzan, 
Srdjan 'Zika' Todorovic, 
Branka Katic, 
Florijan Ajdini
","
Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster."
876,Bringing Up Baby,1938,7.8,91.0,62000,,102,Comedy            ,Passed,"
    Director:
Howard Hawks
| 
    Stars:
Katharine Hepburn, 
Cary Grant, 
Charles Ruggles, 
Walter Catlett
","
While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
877,Key Largo,1948,7.7,,41411,,100,"Action, Crime, Drama            ",Not Rated,"
    Director:
John Huston
| 
    Stars:
Humphrey Bogart, 
Edward G. Robinson, 
Lauren Bacall, 
Lionel Barrymore
","
A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
878,A Night at the Opera,1935,7.8,,33158,2.54,96,"Comedy, Music, Musical            ",Passed,"
    Directors:
Sam Wood, 
Edmund Goulding
| 
    Stars:
Groucho Marx, 
Chico Marx, 
Harpo Marx, 
Kitty Carlisle
","
A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies."
879,Winter Sleep,2014,8.1,88.0,51949,0.17,196,Drama            ,Not Rated,"
    Director:
Nuri Bilge Ceylan
| 
    Stars:
Haluk Bilginer, 
Melisa Sözen, 
Demet Akbag, 
Ayberk Pekcan
","
A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent."
